1 - Handled time: Sun Dec 11 17:57:16 2016, Duration: 0.000659, File_Name: dijkstra.html, Request Type (extension):  .html, Arrival time: Sun Dec 11 17:57:16 2016
2 - Handled time: Sun Dec 11 17:57:16 2016, Duration: 0.000350, File_Name: dijkstra.html, Request Type (extension):  .html, Arrival time: Sun Dec 11 17:57:16 2016
3 - Handled time: Sun Dec 11 17:57:16 2016, Duration: 0.000315, File_Name: oi.gz, Request Type (extension):  .html, Arrival time: Sun Dec 11 17:57:16 2016
4 - Handled time: Sun Dec 11 17:57:16 2016, Duration: 0.001608, File_Name: oi.gz, Request Type (extension):  .gz, Arrival time: Sun Dec 11 17:57:16 2016
5 - Handled time: Sun Dec 11 17:57:16 2016, Duration: 0.002892, File_Name: oi.gz, Request Type (extension):  .gz, Arrival time: Sun Dec 11 17:57:16 2016
6 - Handled time: Sun Dec 11 17:57:16 2016, Duration: 0.001845, File_Name: oi.gz, Request Type (extension):  .gz, Arrival time: Sun Dec 11 17:57:16 2016
7 - Handled time: Sun Dec 11 17:57:16 2016, Duration: 0.001733, File_Name: oi.gz, Request Type (extension):  .gz, Arrival time: Sun Dec 11 17:57:16 2016
1 - Handled time: Fri Dec 16 14:00:54 2016, Duration: 0.006120, File_Name: 404.shtml, Request Type (extension):  .html, Arrival time: Fri Dec 16 14:00:54 2016
2 - Handled time: Fri Dec 16 14:00:55 2016, Duration: 0.002110, File_Name: not_allowed.html, Request Type (extension):  .html, Arrival time: Fri Dec 16 14:00:55 2016
3 - Handled time: Fri Dec 16 14:01:08 2016, Duration: 0.002629, File_Name: dijkstra.html, Request Type (extension):  .html, Arrival time: Fri Dec 16 14:01:08 2016
4 - Handled time: Fri Dec 16 14:01:13 2016, Duration: 0.007486, File_Name: oi.gz, Request Type (extension):  .gz, Arrival time: Fri Dec 16 14:01:13 2016
1 - Handled time: Fri Dec 16 14:14:25 2016, Duration: 0.001752, File_Name: oi.gz, Request Type (extension):  .gz, Arrival time: Fri Dec 16 14:14:25 2016
2 - Handled time: Fri Dec 16 14:14:25 2016, Duration: 0.000262, File_Name: not_allowed.html, Request Type (extension):  .html, Arrival time: Fri Dec 16 14:14:25 2016
3 - Handled time: Fri Dec 16 14:14:25 2016, Duration: 0.000346, File_Name: not_allowed.html, Request Type (extension):  .html, Arrival time: Fri Dec 16 14:14:25 2016
4 - Handled time: Fri Dec 16 14:14:27 2016, Duration: 0.001590, File_Name: oi.gz, Request Type (extension):  .gz, Arrival time: Fri Dec 16 14:14:27 2016
5 - Handled time: Fri Dec 16 14:14:28 2016, Duration: 0.001787, File_Name: oi.gz, Request Type (extension):  .gz, Arrival time: Fri Dec 16 14:14:28 2016
6 - Handled time: Fri Dec 16 14:14:29 2016, Duration: 0.001934, File_Name: oi.gz, Request Type (extension):  .gz, Arrival time: Fri Dec 16 14:14:29 2016
7 - Handled time: Fri Dec 16 14:14:30 2016, Duration: 0.002901, File_Name: oi.gz, Request Type (extension):  .gz, Arrival time: Fri Dec 16 14:14:30 2016
8 - Handled time: Fri Dec 16 14:14:31 2016, Duration: 0.001933, File_Name: oi.gz, Request Type (extension):  .gz, Arrival time: Fri Dec 16 14:14:31 2016
9 - Handled time: Fri Dec 16 14:14:32 2016, Duration: 0.001604, File_Name: oi.gz, Request Type (extension):  .gz, Arrival time: Fri Dec 16 14:14:32 2016
10 - Handled time: Fri Dec 16 14:14:33 2016, Duration: 0.001750, File_Name: oi.gz, Request Type (extension):  .gz, Arrival time: Fri Dec 16 14:14:33 20161 - Handled time: Fri Dec 16 15:02:58 2016, Duration: 0.000404, File_Name: 404.shtml, Request Type (extension):  .html, Arrival time: Fri Dec 16 15:02:58 2016
2 - Handled time: Fri Dec 16 15:02:59 2016, Duration: 0.000332, File_Name: not_allowed.html, Request Type (extension):  .html, Arrival time: Fri Dec 16 15:02:59 2016
3 - Handled time: Fri Dec 16 15:02:59 2016, Duration: 0.010183, File_Name: not_allowed.html, Request Type (extension):  .html, Arrival time: Fri Dec 16 15:02:59 2016
4 - Handled time: Fri Dec 16 15:03:27 2016, Duration: 0.000291, File_Name: dijkstra.html, Request Type (extension):  .html, Arrival time: Fri Dec 16 15:03:27 2016
5 - Handled time: Fri Dec 16 15:03:35 2016, Duration: 0.001849, File_Name: oi.gz, Request Type (extension):  .gz, Arrival time: Fri Dec 16 15:03:35 2016
6 - Handled time: Fri Dec 16 15:04:01 2016, Duration: 0.001552, File_Name: oi.gz, Request Type (extension):  .gz, Arrival time: Fri Dec 16 15:04:01 2016
7 - Handled time: Fri Dec 16 15:04:07 2016, Duration: 0.000631, File_Name: not_allowed.html, Request Type (extension):  .gz, Arrival time: Fri Dec 16 15:04:07 2016
8 - Handled time: Fri Dec 16 15:04:50 2016, Duration: 0.002427, File_Name: oi1.gz, Request Type (extension):  .gz, Arrival time: Fri Dec 16 15:04:50 2016
9 - Handled time: Fri Dec 16 15:06:22 2016, Duration: 0.000340, File_Name: dijkstra.html, Request Type (extension):  .html, Arrival time: Fri Dec 16 15:06:22 2016
